Bee_specie;freq;func_group;ch_sp
Apis_mellifera;9;theft;Ch_10
Apis_mellifera;0;theft;Ch_12
Apis_mellifera;0;theft;Ch_14
Apis_mellifera;0;theft;Ch_2
Apis_mellifera;3;theft;Ch_debilis
Apis_mellifera;0;theft;Ch_desvauxii
Apis_mellifera;3;theft;Ch_flexuosa
Apis_mellifera;2;theft;Ch_ramosa
Apis_mellifera;5;theft;Ch_distichoclada
Apis_mellifera;3;theft;Ch_rotundifolia
Augochlora_sp._05;0;ant_buzz;Ch_10
Augochlora_sp._05;0;ant_buzz;Ch_12
Augochlora_sp._05;0;ant_buzz;Ch_14
Augochlora_sp._05;1;ant_buzz;Ch_2
Augochlora_sp._05;0;ant_buzz;Ch_debilis
Augochlora_sp._05;14;ant_buzz;Ch_desvauxii
Augochlora_sp._05;0;ant_buzz;Ch_flexuosa
Augochlora_sp._05;0;ant_buzz;Ch_ramosa
Augochlora_sp._05;0;ant_buzz;Ch_distichoclada
Augochlora_sp._05;2;ant_buzz;Ch_rotundifolia
Augochloropsis_sp._49;1;ant_buzz;Ch_10
Augochloropsis_sp._49;1;ant_buzz;Ch_12
Augochloropsis_sp._49;9;ant_buzz;Ch_14
Augochloropsis_sp._49;15;ant_buzz;Ch_2
Augochloropsis_sp._49;0;ant_buzz;Ch_debilis
Augochloropsis_sp._49;22;ant_buzz;Ch_desvauxii
Augochloropsis_sp._49;1;ant_buzz;Ch_flexuosa
Augochloropsis_sp._49;26;ant_buzz;Ch_ramosa
Augochloropsis_sp._49;0;ant_buzz;Ch_distichoclada
Augochloropsis_sp._49;0;ant_buzz;Ch_rotundifolia
Augochloropsis_sp._50;1;ant_buzz;Ch_10
Augochloropsis_sp._50;0;ant_buzz;Ch_12
Augochloropsis_sp._50;15;ant_buzz;Ch_14
Augochloropsis_sp._50;17;ant_buzz;Ch_2
Augochloropsis_sp._50;4;ant_buzz;Ch_debilis
Augochloropsis_sp._50;1;ant_buzz;Ch_desvauxii
Augochloropsis_sp._50;3;ant_buzz;Ch_flexuosa
Augochloropsis_sp._50;9;ant_buzz;Ch_ramosa
Augochloropsis_sp._50;1;ant_buzz;Ch_distichoclada
Augochloropsis_sp._50;1;ant_buzz;Ch_rotundifolia
Augochloropsis_sp._51;0;ant_buzz;Ch_10
Augochloropsis_sp._51;0;ant_buzz;Ch_12
Augochloropsis_sp._51;0;ant_buzz;Ch_14
Augochloropsis_sp._51;0;ant_buzz;Ch_2
Augochloropsis_sp._51;0;ant_buzz;Ch_debilis
Augochloropsis_sp._51;5;ant_buzz;Ch_desvauxii
Augochloropsis_sp._51;1;ant_buzz;Ch_flexuosa
Augochloropsis_sp._51;6;ant_buzz;Ch_ramosa
Augochloropsis_sp._51;0;ant_buzz;Ch_distichoclada
Augochloropsis_sp._51;0;ant_buzz;Ch_rotundifolia
Augochloropsis_sp._52;0;ant_buzz;Ch_10
Augochloropsis_sp._52;2;ant_buzz;Ch_12
Augochloropsis_sp._52;0;ant_buzz;Ch_14
Augochloropsis_sp._52;21;ant_buzz;Ch_2
Augochloropsis_sp._52;0;ant_buzz;Ch_debilis
Augochloropsis_sp._52;19;ant_buzz;Ch_desvauxii
Augochloropsis_sp._52;1;ant_buzz;Ch_flexuosa
Augochloropsis_sp._52;12;ant_buzz;Ch_ramosa
Augochloropsis_sp._52;12;ant_buzz;Ch_distichoclada
Augochloropsis_sp._52;0;ant_buzz;Ch_rotundifolia
Augochloropsis_sp._53;0;ant_buzz;Ch_10
Augochloropsis_sp._53;0;ant_buzz;Ch_12
Augochloropsis_sp._53;7;ant_buzz;Ch_14
Augochloropsis_sp._53;0;ant_buzz;Ch_2
Augochloropsis_sp._53;0;ant_buzz;Ch_debilis
Augochloropsis_sp._53;10;ant_buzz;Ch_desvauxii
Augochloropsis_sp._53;0;ant_buzz;Ch_flexuosa
Augochloropsis_sp._53;2;ant_buzz;Ch_ramosa
Augochloropsis_sp._53;0;ant_buzz;Ch_distichoclada
Augochloropsis_sp._53;0;ant_buzz;Ch_rotundifolia
Bombus_morio;10;flow_buzz;Ch_10
Bombus_morio;17;flow_buzz;Ch_12
Bombus_morio;20;flow_buzz;Ch_14
Bombus_morio;0;flow_buzz;Ch_2
Bombus_morio;4;flow_buzz;Ch_debilis
Bombus_morio;0;flow_buzz;Ch_desvauxii
Bombus_morio;6;flow_buzz;Ch_flexuosa
Bombus_morio;0;flow_buzz;Ch_ramosa
Bombus_morio;0;flow_buzz;Ch_distichoclada
Bombus_morio;0;flow_buzz;Ch_rotundifolia
Bombus_pauloensis;162;flow_buzz;Ch_10
Bombus_pauloensis;151;flow_buzz;Ch_12
Bombus_pauloensis;27;flow_buzz;Ch_14
Bombus_pauloensis;9;flow_buzz;Ch_2
Bombus_pauloensis;76;flow_buzz;Ch_debilis
Bombus_pauloensis;26;flow_buzz;Ch_desvauxii
Bombus_pauloensis;10;flow_buzz;Ch_flexuosa
Bombus_pauloensis;14;flow_buzz;Ch_ramosa
Bombus_pauloensis;18;flow_buzz;Ch_distichoclada
Bombus_pauloensis;9;flow_buzz;Ch_rotundifolia
Caenohalictus_sp._01;1;ant_buzz;Ch_10
Caenohalictus_sp._01;0;ant_buzz;Ch_12
Caenohalictus_sp._01;2;ant_buzz;Ch_14
Caenohalictus_sp._01;0;ant_buzz;Ch_2
Caenohalictus_sp._01;1;ant_buzz;Ch_debilis
Caenohalictus_sp._01;9;ant_buzz;Ch_desvauxii
Caenohalictus_sp._01;6;ant_buzz;Ch_flexuosa
Caenohalictus_sp._01;5;ant_buzz;Ch_ramosa
Caenohalictus_sp._01;1;ant_buzz;Ch_distichoclada
Caenohalictus_sp._01;5;ant_buzz;Ch_rotundifolia
Centris_fuscata;5;ant_buzz;Ch_10
Centris_fuscata;0;ant_buzz;Ch_12
Centris_fuscata;0;ant_buzz;Ch_14
Centris_fuscata;0;ant_buzz;Ch_2
Centris_fuscata;0;ant_buzz;Ch_debilis
Centris_fuscata;0;ant_buzz;Ch_desvauxii
Centris_fuscata;0;ant_buzz;Ch_flexuosa
Centris_fuscata;0;ant_buzz;Ch_ramosa
Centris_fuscata;2;ant_buzz;Ch_distichoclada
Centris_fuscata;1;flow_buzz;Ch_rotundifolia
Centris_tarsata;1;ant_buzz;Ch_10
Centris_tarsata;4;ant_buzz;Ch_12
Centris_tarsata;21;ant_buzz;Ch_14
Centris_tarsata;13;ant_buzz;Ch_2
Centris_tarsata;40;ant_buzz;Ch_debilis
Centris_tarsata;8;ant_buzz;Ch_desvauxii
Centris_tarsata;6;ant_buzz;Ch_flexuosa
Centris_tarsata;7;ant_buzz;Ch_ramosa
Centris_tarsata;7;ant_buzz;Ch_distichoclada
Centris_tarsata;12;flow_buzz;Ch_rotundifolia
Centris_trigonoides;0;ant_buzz;Ch_10
Centris_trigonoides;2;ant_buzz;Ch_12
Centris_trigonoides;0;ant_buzz;Ch_14
Centris_trigonoides;0;ant_buzz;Ch_2
Centris_trigonoides;0;ant_buzz;Ch_debilis
Centris_trigonoides;0;ant_buzz;Ch_desvauxii
Centris_trigonoides;0;ant_buzz;Ch_flexuosa
Centris_trigonoides;0;ant_buzz;Ch_ramosa
Centris_trigonoides;0;ant_buzz;Ch_distichoclada
Centris_trigonoides;0;flow_buzz;Ch_rotundifolia
Ceratina_minima;0;ant_buzz;Ch_10
Ceratina_minima;0;ant_buzz;Ch_12
Ceratina_minima;0;ant_buzz;Ch_14
Ceratina_minima;0;ant_buzz;Ch_2
Ceratina_minima;0;ant_buzz;Ch_debilis
Ceratina_minima;0;ant_buzz;Ch_desvauxii
Ceratina_minima;0;ant_buzz;Ch_flexuosa
Ceratina_minima;0;ant_buzz;Ch_ramosa
Ceratina_minima;1;ant_buzz;Ch_distichoclada
Ceratina_minima;21;ant_buzz;Ch_rotundifolia
Dialictus_sp._13;0;ant_buzz;Ch_10
Dialictus_sp._14;0;ant_buzz;Ch_12
Dialictus_sp._15;0;ant_buzz;Ch_14
Dialictus_sp._16;0;ant_buzz;Ch_2
Dialictus_sp._17;0;ant_buzz;Ch_debilis
Dialictus_sp._18;0;ant_buzz;Ch_desvauxii
Dialictus_sp._19;0;ant_buzz;Ch_flexuosa
Dialictus_sp._20;6;ant_buzz;Ch_ramosa
Dialictus_sp._21;0;ant_buzz;Ch_distichoclada
Dialictus_sp._22;7;ant_buzz;Ch_rotundifolia
Eufriesea_nigrohirta;0;ant_buzz;Ch_10
Eufriesea_nigrohirta;15;ant_buzz;Ch_12
Eufriesea_nigrohirta;0;ant_buzz;Ch_14
Eufriesea_nigrohirta;0;ant_buzz;Ch_2
Eufriesea_nigrohirta;0;ant_buzz;Ch_debilis
Eufriesea_nigrohirta;0;ant_buzz;Ch_desvauxii
Eufriesea_nigrohirta;0;ant_buzz;Ch_flexuosa
Eufriesea_nigrohirta;0;ant_buzz;Ch_ramosa
Eufriesea_nigrohirta;0;ant_buzz;Ch_distichoclada
Eufriesea_nigrohirta;0;flow_buzz;Ch_rotundifolia
Exomalopsis_fulvofasciata;0;ant_buzz;Ch_10
Exomalopsis_fulvofasciata;0;ant_buzz;Ch_12
Exomalopsis_fulvofasciata;14;ant_buzz;Ch_14
Exomalopsis_fulvofasciata;15;ant_buzz;Ch_2
Exomalopsis_fulvofasciata;0;ant_buzz;Ch_debilis
Exomalopsis_fulvofasciata;1;ant_buzz;Ch_desvauxii
Exomalopsis_fulvofasciata;13;ant_buzz;Ch_flexuosa
Exomalopsis_fulvofasciata;3;ant_buzz;Ch_ramosa
Exomalopsis_fulvofasciata;0;ant_buzz;Ch_distichoclada
Exomalopsis_fulvofasciata;1;flow_buzz;Ch_rotundifolia
Exomalopsis_tomentosa;0;ant_buzz;Ch_10
Exomalopsis_tomentosa;0;ant_buzz;Ch_12
Exomalopsis_tomentosa;0;ant_buzz;Ch_14
Exomalopsis_tomentosa;0;ant_buzz;Ch_2
Exomalopsis_tomentosa;0;ant_buzz;Ch_debilis
Exomalopsis_tomentosa;0;ant_buzz;Ch_desvauxii
Exomalopsis_tomentosa;3;ant_buzz;Ch_flexuosa
Exomalopsis_tomentosa;0;ant_buzz;Ch_ramosa
Exomalopsis_tomentosa;0;ant_buzz;Ch_distichoclada
Exomalopsis_tomentosa;0;flow_buzz;Ch_rotundifolia
Melipona_quinquefasciata;0;ant_buzz;Ch_10
Melipona_quinquefasciata;0;ant_buzz;Ch_12
Melipona_quinquefasciata;34;ant_buzz;Ch_14
Melipona_quinquefasciata;13;ant_buzz;Ch_2
Melipona_quinquefasciata;3;ant_buzz;Ch_debilis
Melipona_quinquefasciata;21;ant_buzz;Ch_desvauxii
Melipona_quinquefasciata;12;ant_buzz;Ch_flexuosa
Melipona_quinquefasciata;9;ant_buzz;Ch_ramosa
Melipona_quinquefasciata;35;ant_buzz;Ch_distichoclada
Melipona_quinquefasciata;13;flow_buzz;Ch_rotundifolia
Paratetrapedia_lineata;30;theft;Ch_10
Paratetrapedia_lineata;2;theft;Ch_12
Paratetrapedia_lineata;4;theft;Ch_14
Paratetrapedia_lineata;0;theft;Ch_2
Paratetrapedia_lineata;57;theft;Ch_debilis
Paratetrapedia_lineata;14;theft;Ch_desvauxii
Paratetrapedia_lineata;1;theft;Ch_flexuosa
Paratetrapedia_lineata;10;theft;Ch_ramosa
Paratetrapedia_lineata;1;theft;Ch_distichoclada
Paratetrapedia_lineata;3;theft;Ch_rotundifolia
Paratrigona_subnuda;7;theft;Ch_10
Paratrigona_subnuda;2;theft;Ch_12
Paratrigona_subnuda;0;theft;Ch_14
Paratrigona_subnuda;0;theft;Ch_2
Paratrigona_subnuda;10;theft;Ch_debilis
Paratrigona_subnuda;7;theft;Ch_desvauxii
Paratrigona_subnuda;2;theft;Ch_flexuosa
Paratrigona_subnuda;12;theft;Ch_ramosa
Paratrigona_subnuda;12;theft;Ch_distichoclada
Paratrigona_subnuda;2;theft;Ch_rotundifolia
Pseudaugochlora_flammula;0;ant_buzz;Ch_10
Pseudaugochlora_flammula;0;ant_buzz;Ch_12
Pseudaugochlora_flammula;0;ant_buzz;Ch_14
Pseudaugochlora_flammula;0;ant_buzz;Ch_2
Pseudaugochlora_flammula;0;ant_buzz;Ch_debilis
Pseudaugochlora_flammula;1;ant_buzz;Ch_desvauxii
Pseudaugochlora_flammula;0;ant_buzz;Ch_flexuosa
Pseudaugochlora_flammula;0;ant_buzz;Ch_ramosa
Pseudaugochlora_flammula;0;ant_buzz;Ch_distichoclada
Pseudaugochlora_flammula;1;ant_buzz;Ch_rotundifolia
Pseudaugochlora_graminea;0;ant_buzz;Ch_10
Pseudaugochlora_graminea;2;ant_buzz;Ch_12
Pseudaugochlora_graminea;8;ant_buzz;Ch_14
Pseudaugochlora_graminea;28;ant_buzz;Ch_2
Pseudaugochlora_graminea;3;ant_buzz;Ch_debilis
Pseudaugochlora_graminea;1;ant_buzz;Ch_desvauxii
Pseudaugochlora_graminea;0;ant_buzz;Ch_flexuosa
Pseudaugochlora_graminea;6;ant_buzz;Ch_ramosa
Pseudaugochlora_graminea;1;ant_buzz;Ch_distichoclada
Pseudaugochlora_graminea;0;ant_buzz;Ch_rotundifolia
Tetragonisca_angustula;0;theft;Ch_10
Tetragonisca_angustula;2;theft;Ch_12
Tetragonisca_angustula;0;theft;Ch_14
Tetragonisca_angustula;0;theft;Ch_2
Tetragonisca_angustula;0;theft;Ch_debilis
Tetragonisca_angustula;0;theft;Ch_desvauxii
Tetragonisca_angustula;0;theft;Ch_flexuosa
Tetragonisca_angustula;0;theft;Ch_ramosa
Tetragonisca_angustula;0;theft;Ch_distichoclada
Tetragonisca_angustula;0;theft;Ch_rotundifolia
Thectochlora_alaris;0;ant_buzz;Ch_10
Thectochlora_alaris;0;ant_buzz;Ch_12
Thectochlora_alaris;10;ant_buzz;Ch_14
Thectochlora_alaris;4;ant_buzz;Ch_2
Thectochlora_alaris;0;ant_buzz;Ch_debilis
Thectochlora_alaris;11;ant_buzz;Ch_desvauxii
Thectochlora_alaris;0;ant_buzz;Ch_flexuosa
Thectochlora_alaris;6;ant_buzz;Ch_ramosa
Thectochlora_alaris;0;ant_buzz;Ch_distichoclada
Thectochlora_alaris;2;ant_buzz;Ch_rotundifolia
Trigona_braueri;11;robber;Ch_10
Trigona_braueri;76;robber;Ch_12
Trigona_braueri;0;robber;Ch_14
Trigona_braueri;0;robber;Ch_2
Trigona_braueri;0;robber;Ch_debilis
Trigona_braueri;0;robber;Ch_desvauxii
Trigona_braueri;0;robber;Ch_flexuosa
Trigona_braueri;0;robber;Ch_ramosa
Trigona_braueri;0;robber;Ch_distichoclada
Trigona_braueri;0;robber;Ch_rotundifolia
Trigona_spinipes;0;robber;Ch_10
Trigona_spinipes;0;robber;Ch_12
Trigona_spinipes;0;robber;Ch_14
Trigona_spinipes;0;robber;Ch_2
Trigona_spinipes;8;robber;Ch_debilis
Trigona_spinipes;0;robber;Ch_desvauxii
Trigona_spinipes;0;robber;Ch_flexuosa
Trigona_spinipes;0;robber;Ch_ramosa
Trigona_spinipes;86;robber;Ch_distichoclada
Trigona_spinipes;0;robber;Ch_rotundifolia
Xylocopa_fortuita;0;flow_buzz;Ch_10
Xylocopa_fortuita;0;flow_buzz;Ch_12
Xylocopa_fortuita;0;flow_buzz;Ch_14
Xylocopa_fortuita;0;flow_buzz;Ch_2
Xylocopa_fortuita;2;flow_buzz;Ch_debilis
Xylocopa_fortuita;0;flow_buzz;Ch_desvauxii
Xylocopa_fortuita;0;flow_buzz;Ch_flexuosa
Xylocopa_fortuita;1;flow_buzz;Ch_ramosa
Xylocopa_fortuita;0;flow_buzz;Ch_distichoclada
Xylocopa_fortuita;0;flow_buzz;Ch_rotundifolia
Xylocopa_hirsutissima;12;flow_buzz;Ch_10
Xylocopa_hirsutissima;5;flow_buzz;Ch_12
Xylocopa_hirsutissima;0;flow_buzz;Ch_14
Xylocopa_hirsutissima;25;flow_buzz;Ch_2
Xylocopa_hirsutissima;12;flow_buzz;Ch_debilis
Xylocopa_hirsutissima;0;flow_buzz;Ch_desvauxii
Xylocopa_hirsutissima;0;flow_buzz;Ch_flexuosa
Xylocopa_hirsutissima;1;flow_buzz;Ch_ramosa
Xylocopa_hirsutissima;3;flow_buzz;Ch_distichoclada
Xylocopa_hirsutissima;0;flow_buzz;Ch_rotundifolia
Xylocopa_subcyanea;5;flow_buzz;Ch_10
Xylocopa_subcyanea;0;flow_buzz;Ch_12
Xylocopa_subcyanea;0;flow_buzz;Ch_14
Xylocopa_subcyanea;30;flow_buzz;Ch_2
Xylocopa_subcyanea;5;flow_buzz;Ch_debilis
Xylocopa_subcyanea;15;flow_buzz;Ch_desvauxii
Xylocopa_subcyanea;17;flow_buzz;Ch_flexuosa
Xylocopa_subcyanea;13;flow_buzz;Ch_ramosa
Xylocopa_subcyanea;5;flow_buzz;Ch_distichoclada
Xylocopa_subcyanea;0;flow_buzz;Ch_rotundifolia
Xylocopa_truxali;0;flow_buzz;Ch_10
Xylocopa_truxali;0;flow_buzz;Ch_12
Xylocopa_truxali;0;flow_buzz;Ch_14
Xylocopa_truxali;0;flow_buzz;Ch_2
Xylocopa_truxali;14;flow_buzz;Ch_debilis
Xylocopa_truxali;0;flow_buzz;Ch_desvauxii
Xylocopa_truxali;0;flow_buzz;Ch_flexuosa
Xylocopa_truxali;0;flow_buzz;Ch_ramosa
Xylocopa_truxali;1;flow_buzz;Ch_distichoclada
Xylocopa_truxali;0;flow_buzz;Ch_rotundifolia
